Bericht;Bereich;Modell;Groesse;Run;Szenariotyp;Phase;Schrittart;Aufgabe;Status;Dauer [s];SLM-Zeit [s];Prompt-Tokens;Output-Tokens;Tokens gesamt;Formatreparaturen;Modellneustarts;Abbrueche;Timeouts;Abbruchgrund;Fehlerart;Neustart;Timeout
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:TRM_gut_S1->CM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;format_repair:intermodel:controlled_phase1:TRM_gut_S1->CM_gut_S1:attempt:1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:PM_gut_S1->CM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:PM_gut_S1->TRM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;pipeline_finished;;COMPLETED_WITH_ERRORS;12355.5712452;4885.299868499986;59987;173202;233189;5;15;;0;;;;
10;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;2;pipeline_started;;;;;;;;;;;;;;;
10;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;2;slm_request_started;intermodel:controlled_phase2:GM_gut_S2.2->CM_gut_S2.2;;;;;;;;;;;;;;
10;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;2;slm_attempt_aborted;intermodel:controlled_phase2:GM_gut_S2.2->CM_gut_S2.2;;;;;;;;;1;;thinking_repetition;SLMRepetitionError;True;
10;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;2;slm_service_restart_finished;intermodel:controlled_phase2:GM_gut_S2.2->CM_gut_S2.2;OK;2.227322099999583;;;;;;;;;;;;120.0
10;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;2;slm_request_started;intermodel:controlled_phase2:GM_gut_S2.2->CM_gut_S2.2;;;;;;;;;;;;;;
